Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1985-08-17;0;26,36;null;
1985-08-18;0;26,74;null;
1985-08-19;0;26,38;null;
1985-08-20;0;27,3;null;
1985-08-21;0;27,86;null;
1985-08-22;0;26,86;null;
1985-08-23;0;27,72;null;
1985-08-24;0;27,04;null;
1985-08-25;0;26,74;null;
1985-08-26;8,2;27,68;null;
1985-08-27;0;28,18;null;
1985-08-28;0;27,68;null;
1985-08-29;0;28,2;null;
1985-08-30;0;27,42;null;
1985-08-31;0;28,1;null;
1985-09-01;0;26,78;null;
1985-09-02;0;28,36;null;
1985-09-03;0;27,9;null;
1985-09-04;0;26,58;null;
1985-09-05;0;27,34;null;
1985-09-06;0;27,46;null;
1985-09-07;0;27,94;null;
1985-09-08;0;27,44;null;
1985-09-09;0;27,54;null;
1985-09-10;0;27,7;null;
1985-09-11;0;28,18;null;
1985-09-12;0;29,18;null;
1985-09-13;0;28,66;null;
1985-09-14;9,3;26,28;null;
1985-09-15;2,4;27,04;null;
1985-09-16;0;27,04;null;
1985-09-17;0;28,68;null;
1985-09-18;0;28,32;null;
1985-09-19;0;28,3;null;
1985-09-20;0;28,66;null;
1985-09-21;0;29,04;null;
1985-09-22;0;26,72;null;
1985-09-23;0;26,02;null;
1985-09-24;,8;27,38;null;
1985-09-25;0;26,68;null;
1985-09-26;0;27,06;null;
1985-09-27;0;24,86;null;
1985-09-28;48;24,02;null;
1985-09-29;56,1;26,24;null;
1985-09-30;0;27,92;null;
1985-10-01;6,9;24,86;null;
1985-10-02;0;26,5;null;
1985-10-03;0;28,92;null;
1985-10-04;18,5;25,08;null;
1985-10-05;,1;24,8;null;
1985-10-06;4,2;26,58;null;
1985-10-07;0;24,22;null;
1985-10-08;8,6;24,96;null;
1985-10-09;1,1;25,86;null;
1985-10-10;14,8;27,06;null;
1985-10-11;1,6;26,82;null;
